Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
AccountMatching-MGA,Chrome 73.0.3683.103,,2019-04-17 15:30:15,2019-04-17 15:31:19,1m - 4.103s,PASSED
,,,,,,
Test Cases/TC01-LoginApplication,Chrome 73.0.3683.103,,2019-04-17 15:30:26,2019-04-17 15:30:38,11.805s,PASSED
"openBrowser("""")",Chrome 73.0.3683.103,,2019-04-17 15:30:26,2019-04-17 15:30:26,0.003s,NOT_RUN
"navigateToUrl(""https://dev.offshoresoftwaresolutions.net/markit_coreV2/Sites/CoreTest/login/admin_display"")",Chrome 73.0.3683.103,,2019-04-17 15:30:26,2019-04-17 15:30:26,0.001s,NOT_RUN
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_username""), ""dDasTester"")",Chrome 73.0.3683.103,,2019-04-17 15:30:26,2019-04-17 15:30:26,0.264s,PASSED
"setText(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/input_Login to your account_password""), ""Czybm6R*"")",Chrome 73.0.3683.103,,2019-04-17 15:30:26,2019-04-17 15:30:26,0.143s,PASSED
"delay(4, STOP_ON_FAILURE)",Chrome 73.0.3683.103,,2019-04-17 15:30:26,2019-04-17 15:30:30,4.022s,PASSED
maximizeWindow(),Chrome 73.0.3683.103,,2019-04-17 15:30:30,2019-04-17 15:30:30,0.001s,NOT_RUN
"click(findTestObject(""Object Repository/TC-LoginApplication/Page_Markit core new  Login/button_Login""))",Chrome 73.0.3683.103,,2019-04-17 15:30:30,2019-04-17 15:30:38,7.171s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-17 15:30:38,2019-04-17 15:30:38,0.003s,NOT_RUN
log.logInfo(“Dipak”),Chrome 73.0.3683.103,,2019-04-17 15:30:38,2019-04-17 15:30:38,0.001s,NOT_RUN
,,,,,,
Test Cases/TC04-AccountMatching-MGA,Chrome 73.0.3683.103,This is Account Matching OF MGA,2019-04-17 15:30:38,2019-04-17 15:31:18,40.806s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 73.0.3683.103,,2019-04-17 15:30:38,2019-04-17 15:30:38,0.001s,PASSED
delay(3),Chrome 73.0.3683.103,,2019-04-17 15:30:38,2019-04-17 15:30:41,3.005s,PASSED
"scrollToElement(findTestObject(""TC04-AccountMatching-MGA/AccountManagement""), 5)",Chrome 73.0.3683.103,,2019-04-17 15:30:41,2019-04-17 15:30:41,0.080s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/AccountManagement""))",Chrome 73.0.3683.103,,2019-04-17 15:30:41,2019-04-17 15:30:41,0.068s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 15:30:41,2019-04-17 15:30:41,0.001s,NOT_RUN
"waitForElementVisible(findTestObject(""TC04-AccountMatching-MGA/AccountMatchingLink""), 4)",Chrome 73.0.3683.103,,2019-04-17 15:30:41,2019-04-17 15:30:42,0.597s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/AccountMatchingLink""))",Chrome 73.0.3683.103,,2019-04-17 15:30:42,2019-04-17 15:30:43,1.438s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 15:30:43,2019-04-17 15:30:48,5.004s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/EntityType""), ""MGA"", false)",Chrome 73.0.3683.103,,2019-04-17 15:30:48,2019-04-17 15:30:48,0.108s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 15:30:48,2019-04-17 15:30:53,5.003s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/Entity""), ""NEW MGA"", false)",Chrome 73.0.3683.103,,2019-04-17 15:30:53,2019-04-17 15:30:53,0.143s,PASSED
"waitForElementClickable(findTestObject(""TC04-AccountMatching-MGA/ClickGoButton""), 5)",Chrome 73.0.3683.103,,2019-04-17 15:30:53,2019-04-17 15:30:53,0.064s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/ClickGoButton""))",Chrome 73.0.3683.103,,2019-04-17 15:30:53,2019-04-17 15:30:55,2.019s,PASSED
waitForJQueryLoad(5),Chrome 73.0.3683.103,,2019-04-17 15:30:55,2019-04-17 15:30:57,1.950s,PASSED
"selectOptionByLabel(findTestObject(""TC04-AccountMatching-MGA/SelectAccount""), ""ComissionOnly -- Allocated -- NEW MGA CommAccount -- USD"", false)",Chrome 73.0.3683.103,,2019-04-17 15:30:57,2019-04-17 15:30:57,0.089s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 15:30:57,2019-04-17 15:31:02,5.003s,PASSED
"setText(findTestObject(""TC04-AccountMatching-MGA/Acc_Matching_PolicyNo_TextBox""), MTA_Policy_No)",Chrome 73.0.3683.103,,2019-04-17 15:31:02,2019-04-17 15:31:03,0.105s,PASSED
"sendKeys(findTestObject(""TC04-AccountMatching-MGA/Acc_Matching_PolicyNo_TextBox""), Keys.chord(ENTER))",Chrome 73.0.3683.103,,2019-04-17 15:31:03,2019-04-17 15:31:03,0.051s,PASSED
delay(5),Chrome 73.0.3683.103,,2019-04-17 15:31:03,2019-04-17 15:31:08,5.002s,PASSED
"waitForElementClickable(findTestObject(""TC04-AccountMatching-MGA/CheckBox""), 5)",Chrome 73.0.3683.103,,2019-04-17 15:31:08,2019-04-17 15:31:08,0.084s,PASSED
"click(findTestObject(""TC04-AccountMatching-MGA/CheckBox""))",Chrome 73.0.3683.103,,2019-04-17 15:31:08,2019-04-17 15:31:08,0.074s,PASSED
delay(4),Chrome 73.0.3683.103,,2019-04-17 15:31:08,2019-04-17 15:31:12,4.003s,PASSED
"MGA_Comission_Amount = getText(findTestObject(""TC04-AccountMatching-MGA/MGA_Amount""))",Chrome 73.0.3683.103,,2019-04-17 15:31:12,2019-04-17 15:31:12,0.109s,PASSED
